id,name,main_cate_id,sub_cate_id,region_id,city_id,info,description,price,stock,duration,booking_start_at,booking_end_at,views,published_at,unpublished_at,created_at,updated_at,is_valid
1,【富國島夢幻三島巡航】跳島浮潛一日遊：Mong Tay、Gam Ghi、May Rut,1,1,4,14,跳上船一起探索富國島附近的三個美妙島嶼吧！在 Gam Ghi 和 Mong Tay 群島浮潛時，可以看到各種各樣的珊瑚礁。在 May Rut 島的原始海灘上放鬆身心，結束您的一天。,"📝 行程介紹
乘著清晨的陽光，我們將展開一段難忘的夢幻跳島之旅。
此行程將帶你探索富國島南方三座最迷人的離島 —— Mong Tay、Gam Ghi 與 May Rut，每一座島嶼都擁有獨特魅力與原始風光。
無論是潛入珊瑚海域欣賞繽紛海底世界，或是在潔白沙灘上享受靜謐時光，都能讓身心完全放鬆。
整段行程以舒適快艇連接每個島嶼，搭配貼心服務與美味午餐，適合情侶、朋友與家庭出遊。
準備好讓海風吹散煩憂，留下陽光與笑聲的回憶吧！☀️🌊

📅 第1天
🕗 08:00｜飯店接送／集合出發
專車將前往各大飯店接送旅客，集合後前往港口展開今天的跳島之旅。

🚤 09:00｜搭乘快艇啟航，前往 Mong Tay 島
在富國島的蔚藍海域上飛馳，清晨的海風吹來清新氣息。
首先抵達被譽為“指甲島”的 Mong Tay 島，這裡以白沙灘與靜謐海岸聞名，是拍照與短暫漫步的絕佳地點。

🤿 10:00｜浮潛體驗＠Gam Ghi 島海域
抵達 Gam Ghi 島後，進行當日最精彩的活動之一 —— 浮潛！
這裡的海域擁有富國島最壯觀的珊瑚礁群，繽紛熱帶魚就在你眼前穿梭，帶來前所未有的驚喜體驗。

🏝️ 12:00｜登上 May Rut 島享用午餐與自由活動
May Rut 島被譽為富國島最純淨的沙灘與椰林。
享用當地風味海鮮午餐後，可在吊床上小憩、海邊戲水，或於島上咖啡小館享受悠閒時光。

🛍️ 14:30｜拍照與購買手作紀念品
自由時間內，你可選購島上手工藝品與特色商品，留下美好紀念。
此時陽光柔和，是拍照留影的最佳時刻。

⛴️ 15:30｜搭船返回富國島本島港口
結束這段豐富的跳島行程，搭乘快艇緩緩返航，回顧這天的陽光、海浪與笑聲。

🚐 16:30｜送返飯店，結束行程
抵達港口後，專車將送你返回飯店，結束這段豐富又悠閒的跳島一日遊。",2300,17,1,2025/7/5 00:00,2025/8/2 00:00,177,2025/6/29 00:00,NULL,2025/6/24 00:00,2025/6/28 00:00,1
2,【深入戰爭歷史】胡志明出發古芝地道探秘半日遊,1,1,3,10,探索傳奇的古芝地道，這是越南戰爭期間使用的長達 220 公里的地道網絡。 這個英雄的地區距離胡志明市 60 公里，可以讓人一窺越南的戰爭歷史。,"從胡志明市出發，深入探索越南最具歷史意義的地下戰爭遺址——古芝地道。
這段半日旅程將帶你進入一個極具震撼的時光隧道，回到戰火紛飛的年代，親身體驗越南人民在極端條件下的堅韌與智慧。

古芝地道總長超過 220 公里，是越戰期間越共游擊隊的重要據點。你將有機會實地走入狹窄地道、參觀地下會議室、廚房與彈藥室，了解當時如何在地底生活與作戰。此外，導覽人員將以中文或英文詳細解說，使你更容易理解戰爭背後的故事與精神。

整趟旅程時間雖短，卻充滿震撼與教育意義，特別適合對歷史、軍事與文化有興趣的旅客。📜

📅 第1天
🕗 07:30｜飯店接送集合
專車前往市區各大飯店接送旅客，集合後準時出發前往古芝地道。
沿途導遊將簡介今日行程與古芝地區的歷史背景。

🚐 08:30｜前往古芝地道區（距離約 60 公里）
車程約 1.5 小時，途中穿越胡志明近郊鄉村，兩旁可見稻田、橡膠林與當地村落。

📽️ 10:00｜觀看歷史紀錄短片
抵達後，首先進入展示廳觀看越戰期間的歷史影片，了解古芝地道的重要性與建設背景。

🕳️ 10:30｜實地探訪地道區域
在導遊帶領下，參觀包括：偽裝入口、陷阱示範、彈藥製造所、地底醫院與會議室。
你也可嘗試親身進入模擬地道，體驗當年游擊隊員所經歷的艱困與壓迫。

🍠 11:30｜品嚐當地游擊餐點
行程最後將品嚐地道中典型的「游擊隊炊事餐」──烤地瓜與木薯，感受戰時生活的簡樸與堅韌。

🚌 12:00｜返回胡志明市
結束行程，搭乘專車返回市區，沿途可再次欣賞郊區風景與交流行程心得。

🕐 13:30｜抵達飯店，行程結束
抵達後送返至原住宿地點，這段深度而緊湊的歷史之旅圓滿結束，留下滿滿反思與記憶。",800,16,1,2025/3/12 00:00,2025/7/2 00:00,377,2025/3/9 00:00,NULL,2025/2/27 00:00,2025/2/28 00:00,1
3,【海岸風情輕旅行】頭頓經典一日遊：基督君王雕像＋白宮探訪,1,1,3,10,頭頓一日遊，參觀基督君王雕像與白宮，感受越南海濱城市的宗教與歷史魅力。,"展開一場融合宗教、歷史與自然景致的輕旅行，前往越南南部海濱城市——頭頓。
本行程將帶你登上海拔高處俯瞰海景的「基督君王雕像」，造訪融合殖民風情與越南文化的「白宮」，並深入當地生活場域。這是一次既輕鬆又豐富的文化巡禮，一天內即可感受到頭頓的獨特魅力與多元歷史風貌。

適合喜歡拍照、文化體驗與大自然景觀的旅客，也是一趟非常適合親子與長輩同行的溫和旅程。

📅 第1天
🕗 07:30｜胡志明市出發，開啟海濱文化之旅
從胡志明市市區集合出發，搭乘專車前往頭頓市，沿途欣賞鄉村與海岸風光，車程約 2.5 小時。

🗽 10:00｜登頂基督君王雕像，俯瞰無敵海景
抵達後，首先前往矗立於小山丘上的「基督君王雕像」，這座雕像高達 32 公尺，雙臂展開達 18 公尺，是越南重要地標之一。你可沿著台階登頂，眺望整片南中國海壯麗風光，享受片刻寧靜與心靈洗滌。

🏛️ 11:30｜白宮參觀，漫步歷史長廊
接著前往頭頓白宮（Bach Dinh），這座殖民時期的法式建築過去曾作為法國總督的避暑行宮。館內展示著歷史文物與古董家具，從建築結構到展示品皆能感受殖民與在地文化交融的軌跡。

🍽️ 12:30｜海景午餐，品味在地風味
前往當地餐廳享用海鮮午餐（可依套餐內容調整），邊享用料理邊欣賞海天一線的景色，是補充體力與拍照的絕佳時機。

🏖️ 14:00｜自由時間探索沙灘或咖啡館
用完午餐後，安排自由活動時間。你可漫步於沙灘，拍攝美照，或前往市區特色咖啡店小歇一會，感受頭頓悠閒的生活節奏。

🚌 15:30｜集合返程，沿途欣賞海岸風光
集合後搭車返回胡志明市，結束一天精彩的頭頓文化旅程。

🕕 18:00｜抵達胡志明市，行程圓滿落幕
專車送回原住宿地點，留下滿滿回憶與滿足心情。
",950,0,1,2025/4/15 00:00,2025/8/18 00:00,526,2025/4/7 00:00,NULL,2025/4/3 00:00,2025/4/8 00:00,1
4,【穿越皇城歲月】峴港出發順化古都深度一日遊,1,1,2,9,峴港出發前往順化古都，走進皇城、皇陵，體驗越南王朝的歷史氣息與文化深度。,"從峴港出發，展開一場穿越時空的古都之旅。
順化作為阮朝的首都，至今保留了完整的皇城、帝陵與歷史遺跡，是探索越南歷史與文化不可錯過的一站。本行程將帶你深入順化皇城、參觀著名的帝王陵寢，還有沿香江而行的詩意之美，讓你感受到昔日王朝的風采與現代城市的靜謐融合。

📅 第1天
🕗 07:30｜峴港飯店接送，前往順化
專車於早上從峴港市區出發，沿途經過海雲嶺，欣賞中越海岸線的壯麗景色，預計車程約 2.5 小時。

🏯 10:00｜探訪順化皇城，重返古越王朝
首先參觀順化皇城（Imperial City），這是昔日阮朝皇室的宮廷建築群，被聯合國列為世界文化遺產。
你將穿越午門、太和殿、紫禁城等歷史遺跡，了解皇室生活、建築美學與越南封建歷史。

🪦 11:30｜前往帝王陵墓，感受王者氣息
接續前往知名的明命陵或凱定陵（視當日安排而定），這些陵墓融合自然景觀與精緻建築，展現皇帝對永恆的想像與權力象徵。導覽員將介紹陵墓中的象徵符號與歷史背景。

🍽️ 12:30｜享用越式午餐，補充能量
在當地特色餐廳享用午餐，品嚐順化當地的傳統美食，如順化牛肉河粉、糕點或宮廷料理，體驗昔日皇家的飲食文化。

🏞️ 14:00｜乘船遊香江，訪天姥寺
下午安排香江（Perfume River）遊船，感受水面涼風與城市靜謐。途中靠岸參觀順化最古老且著名的佛寺「天姥寺（Thien Mu Pagoda）」，塔樓俯瞰香江，是順化最具代表性的宗教地標之一。

🎐 15:30｜自由時間拍照與購物
可選擇在順化老街短暫停留，拍照打卡、選購特色紀念品或品嚐在地甜點，輕鬆感受當地人文氛圍。

🚌 16:30｜專車接回，啟程返回峴港
集合返程，沿著原路欣賞傍晚的中部山海交界景色，回程約 2.5 小時。

🕕 19:00｜抵達峴港，結束一日皇城之旅
專車送回原住宿地點，帶著滿滿歷史記憶與文化感動回程。",1200,0,1,2025/7/3 00:00,2025/8/24 00:00,272,2025/2/26 00:00,NULL,2025/2/18 00:00,NULL,1
5,【水鄉探險趣】湄公河三角洲經典一日遊｜胡志明市出發,1,1,3,13,乘船遊覽、當地村莊和正宗美食，探索湄公河三角洲的魅力。暢遊湄公河三角洲，搭船深入熱帶水鄉，體驗當地生活與自然風光，文化探索一次滿足。,"從胡志明市出發，踏上一場探索越南「東方威尼斯」──湄公河三角洲的水鄉文化之旅。
搭乘傳統小舟穿梭熱帶叢林，造訪當地村莊與果園，品嚐道地美食與手工糖果，深入感受南越人們的生活方式與淳樸人情，給你豐富且難忘的一日體驗。

📅 第1天
🕗 08:00｜集合出發，前往湄公河三角洲
於胡志明市飯店集合出發，搭乘舒適專車前往美拖（My Tho），行車時間約 1.5 小時。導覽員將沿途介紹湄公河的地理與文化背景。

🚤 09:30｜搭船遊湄公河，感受水鄉風情
抵達美拖後登船，開始你的湄公河之旅。沿著寬廣的水道航行，觀賞兩岸椰林與高腳屋風光，體會熱帶河流特有的生態景觀。

🍭 10:30｜參觀傳統椰子糖工坊，體驗手作魅力
靠岸參觀當地的椰子糖工坊，了解傳統糖果的製作流程，還可品嚐新鮮製作的椰子糖與乾果小點，感受職人文化。

🚣‍♀️ 11:30｜手划小舟深入叢林水道，穿梭尼帕棕櫚林
轉乘小型手划船進入狹窄的支流水道，兩岸椰林茂密、陽光灑落水面，是拍照打卡的絕佳場景。體驗安靜又詩意的湄公河支流之美。

🍽️ 12:30｜享用在地風味午餐，補充能量
於當地村莊享用越式風味午餐，包括炸象魚捲餅、越式酸湯與新鮮水果等特色料理，享受豐盛的鄉村饗宴。

🎵 13:30｜欣賞越南傳統音樂，體驗文化交流
午餐後安排當地人演奏傳統南部民謠音樂，搭配水果茶點，感受南越人民的熱情好客與音樂文化的魅力。

🌴 14:30｜參觀果園與蜂蜜園，品嚐天然風味
前往果園與蜂蜜園，了解當地農業生產方式，並試飲蜂蜜茶與品嚐各式熱帶水果，如火龍果、芭樂與山竹。

🚌 15:30｜啟程返回胡志明市
集合搭乘巴士返回胡志明市，沿途回顧今天的豐富行程與難忘經歷。

🕕 17:00｜抵達胡志明市，行程結束
返回原住宿地點，結束精彩的湄公河水鄉探險之旅，滿載回憶與笑容。",1050,35,1,2025/4/25 00:00,2025/7/17 00:00,864,2025/4/15 00:00,2025/7/17 00:00,2025/4/7 00:00,2025/4/9 00:00,1
6,【世界奇景】下龍灣豪華遊輪之旅｜河內出發｜頂級轎車接送,1,1,1,2,下龍灣一日遊豪華遊輪豪華轎車從河內接送，深度體驗越南文化與自然魅力，行程豐富精彩不容錯過。,"展開下龍灣的奢華一日遊，從河內搭乘頂級專車出發，享受尊榮接送與全程貼心服務。搭乘五星級豪華遊輪，探索世界自然遺產——下龍灣壯麗奇岩與海上洞穴，並享受船上精緻美食、划獨木舟與探險活動，讓你在短短一天中擁有難忘海上體驗。

📅 第1天
🚗 07:00｜河內出發，尊榮轎車接送
從河內市中心飯店出發，搭乘舒適的高級轎車前往下龍灣，沿途欣賞北越鄉間景致，行車約 2.5 小時，提供礦泉水與簡易早餐。

🛥️ 09:30｜抵達下龍碼頭，登船開啟奇景之旅
抵達後由專人引導登上豪華遊輪，歡迎飲品與簡單導覽介紹船上設施。船艙設備完善，提供舒適的休憩空間與寬敞甲板。

🪨 10:00｜啟航遊覽下龍灣，探索奇岩怪石
航行於壯麗的石灰岩島嶼之間，船長將特別介紹雞公石、鬥雞石等著名自然地標。相機準備好，隨時捕捉驚艷景色。

🏞️ 11:00｜參觀驚訝洞（Sung Sot Cave），奇幻鐘乳石世界
靠岸登陸驚訝洞，步行進入壯麗的石灰岩洞穴。洞內奇形怪狀的鐘乳石構造，宛如童話場景，令人目不暇給。

🍽️ 12:30｜船上享用越式海鮮午餐
返回船上，享用豐盛午餐，包括新鮮海鮮料理、越南春捲、炒飯與當地蔬菜等，眺望海景邊用餐，愜意至極。

🛶 14:00｜獨木舟或竹筏體驗，自由划行於靜謐海灣
於指定水域下船參加自由活動，可選擇划獨木舟或搭乘竹筏近距離探索石灰岩洞穴與清澈海面，體驗自然的寧靜與美麗。

🏖️ 15:00｜自由時光，於甲板曬太陽或拍照留念
回到遊輪後可選擇於上層甲板欣賞風景、拍照打卡，或在船艙內休憩片刻，享受寧靜片刻。

🚗 16:00｜結束航程，返回下龍碼頭
遊輪返回碼頭，結束難忘的海上奇景之旅，準備返回河內。

🚌 16:30｜專車返回河內
搭乘原車返回河內，途中稍作停留休息，回程約 2.5 小時，沿途回顧今日豐富行程。

🕕 19:00｜回到河內，行程結束
預計傍晚時分抵達飯店，結束一天的豪華遊輪體驗，留下無數回憶與美麗影像。",5450,40,1,2025/3/23 00:00,2025/7/19 00:00,953,2025/3/22 00:00,NULL,2025/3/14 00:00,2025/3/18 00:00,1
7,【美奈風光全覽】沙丘、仙女溪、漁村探訪一日遊,1,1,3,12,享受仙女溪的美麗、漁村的當地生活以及著名的紅沙丘。乘坐全地形車或吉普車去冒險。在美奈海灘放鬆身心，享受清爽的海風，恢復活力。在胡志明市體驗有趣和冒險的一天。,"逃離城市喧囂，踏上前往美奈的自然探險之旅！這趟一日遊將帶你深入越南著名的仙女溪、紅白沙丘和漁村，體驗原始風貌與當地生活文化。搭乘吉普車奔馳於沙丘之間，盡覽沙漠與海洋交織的絕美景色，是親近自然與冒險體驗的完美組合！

📅 第1天
🚌 05:00｜從胡志明市出發
清晨出發，搭乘舒適巴士離開城市，前往約 4 小時車程外的美奈，沿途可欣賞越南南部的鄉村風光。

🥐 08:30｜抵達美奈，自由早餐與簡單休息
在當地餐廳享用簡單早餐（自費），稍作休息後準備展開精彩一日遊。

⛱️ 09:00｜白沙丘（White Sand Dunes）探險
搭乘全地形車（ATV）或吉普車，奔馳於壯觀的白沙丘中。這片如月球般的純白沙丘是攝影愛好者的天堂。也可選擇乘坐滑沙板體驗刺激快感！

📸 10:30｜紅沙丘（Red Sand Dunes）拍照留念
前往紅沙丘，感受陽光灑落在沙面上所呈現的金紅色波浪，是美奈最具標誌性的景點之一。可再次體驗滑沙或漫步沙漠邊緣，留下打卡美照。

🎣 11:30｜探訪當地漁村
造訪靠海而生的傳統漁村，觀察當地居民的捕魚生活、圓形竹船（Thung Chai）與漁獲曬乾場，感受原汁原味的越南海岸生活。

🌊 12:30｜午餐時間（自費）＋海邊自由活動
於當地餐廳享用海鮮大餐，餐後可在海灘漫步、拍照或於躺椅上小憩，享受蔚藍海岸帶來的片刻悠閒。

🍃 14:00｜仙女溪（Fairy Stream）自然步道健行
赤腳漫步於柔軟紅土溪流中，沿著仙女溪探索特殊的石灰岩地貌、紅白岩層與綠意盎然的溪畔植物。這是一段如夢似幻的自然洗禮。

📍 15:30｜返回美奈市區，短暫自由活動
可選擇購買伴手禮、飲料或再次造訪心儀景點補拍照片。

🚐 16:00｜搭乘巴士返回胡志明市
整理行李與回憶，搭乘原車返程，預計車程約 4 小時，沿途小憩。

🌆 20:00｜抵達胡志明市，行程圓滿結束
返回指定集合地點，下車解散。結束充實又療癒的一日美奈探索之旅！",1250,21,1,2025/4/19 00:00,2025/5/29 00:00,674,2025/4/15 00:00,NULL,2025/4/12 00:00,2025/4/17 00:00,1
8,【古都與山水】河內出發華閭三谷一日遊｜遊船與歷史文化融合,1,1,1,4,寧平省是遊客短期旅遊的最佳選擇，擁有數十個必遊景點和日益升級的服務，現在其旅遊活動越來越受到人們的關注。此一日遊包括宗教崇拜、划船、歷史和發掘學習。,"走訪越南北部的「陸上下龍灣」──寧平省，深入探索融合壯麗自然與千年古都歷史的華閭與三谷。一日行程中將體驗古都遺跡、寧靜水路與秀麗山巒，乘坐小舟穿越石灰岩洞穴，感受文化與山水交織的獨特魅力！

📅 第1天
🚌 07:30｜從河內出發，前往寧平省
從河內飯店搭乘專車，約 2 小時車程。沿途欣賞北越農村田園風光，綠意盎然，令人心曠神怡。

🏯 09:30｜參觀華閭古都（Hoa Lu Ancient Capital）
抵達後先造訪 10 世紀丁朝與前黎朝的古都遺跡，欣賞古老廟宇建築、歷史雕刻與帝王故事。這裡曾是越南最早的中央集權政權所在地，充滿濃厚歷史氛圍。

⛰️ 11:00｜登訪 Mua Cave（舞洞）觀景台（如行程包含）
爬上 500 階石階後可俯瞰整個三谷壯麗全景，是攝影與打卡熱點（視套餐而定）。

🍴 12:00｜享用越南風味午餐
於當地餐廳享用道地越南餐食，包含炒麵、春捲、當地蔬菜與清爽湯品，補充能量準備下半日探索。

🛶 13:30｜三谷（Tam Coc）搭乘手搖小船遊河
乘坐由當地婦人以腳划槳的傳統竹舟，順流穿梭於三座石灰岩山與蜿蜒河道之間，悠然漂流於如畫山水，途經數個天然鐘乳石洞穴，感受北越自然地貌的壯麗與靜謐。

📸 15:00｜自由拍照與探索河畔村落
下船後可在岸邊小鎮逛逛、購買當地手工藝品、品嚐椰子水或拍照留念，體驗寧平慢生活節奏。

☕ 15:30｜簡單茶點與休息時間
提供當地茶飲與小點心，享受午後陽光與清風，感受遠離都市塵囂的放鬆片刻。

🚐 16:00｜返回河內
結束一整天的豐富行程，搭車返回河內。沿途休息或小憩。

🌇 18:00｜抵達河內市區，行程圓滿結束
回到原集合地點，自由解散，帶著滿滿的回憶結束這趟文化與自然完美融合的一日旅程。",1100,12,1,2025/4/15 00:00,2025/7/24 00:00,547,2025/4/13 00:00,NULL,2025/4/10 00:00,2025/4/13 00:00,1
9,【峴港/會安經典半日遊】靈應寺＋五行山＋猴山小團精緻體驗,1,1,2,7,大理石山、猴子山、靈應寺，深度體驗越南文化與自然魅力，行程豐富精彩不容錯過。,"用半天時間深入探索峴港與會安周邊三大經典景點：靈應寺、五行山與猴山。從壯觀的佛教建築、神秘的洞窟石山到俯瞰海岸的絕美山景，一次體驗越南文化與自然的交融之美，適合想輕旅行又充實的你！

📅 第1天（半日行程）
🕘 08:00｜飯店接駁出發（或13:00 午後行程）
專車至指定集合地點，迎接展開本地導覽小團旅程，專屬貼心導遊陪同。

🏔️ 08:30｜參訪五行山（Marble Mountains）
五行山又稱「大理石山」，由五座石灰岩山組成，象徵金、木、水、火、土五行元素。可探索隱藏於山壁間的洞穴與佛教寺廟，登高可俯瞰峴港海岸美景，石梯、靈洞與祈福香火交織成靜謐氛圍。

🧘 10:00｜靈應寺（Linh Ung Pagoda）參拜
造訪位於山上的靈應寺，供奉著峴港最具代表性的「觀音像」，高達 67 公尺、俯瞰整個美溪海灘，是當地漁民重要的心靈依靠。寺廟莊嚴肅穆，四周山海環抱，氣氛祥和。

🐒 11:00｜猴山探訪（Son Tra Peninsula）
搭車前往山路彎繞的猴山，又稱仙山，這裡常可見到野生獼猴自由穿梭於林中，是攝影與自然愛好者的祕密天堂。站上山頂，可遠眺峴港灣與城市美景，是本地旅人最愛的打卡點之一。

📸 11:30｜觀景與自由拍照時間
在山上短暫停留，享受海風與高處視野，可與觀音像或整座峴港城市合影留念，留下旅程中最獨特的一刻。

🚐 12:00｜返回飯店，行程結束（或17:00 午後場次）
結束精彩半日之旅，返回原出發地。若選擇下午場，時間對應調整為午餐後出發、傍晚返回。",1150,27,1,2025/4/23 00:00,2025/7/20 00:00,320,2025/4/16 00:00,NULL,2025/4/13 00:00,2025/4/17 00:00,1
10,【芽莊海上奇遇】浮潛探險＋迷你沙灘＋海鮮午餐一日遊,1,1,2,8,讓自己迷失在芽莊灣的自然美景中吧，這裡是世界上最美麗的海灣之一。 踏上前往三個原始島嶼的一日遊。 從清澈的海水中浮潛到完美的白色海岸上閒逛，您將被越南頂級的自然景點之一所迷住。,"沉浸在芽莊灣令人驚嘆的自然美景中，展開一段探索三座原始小島的夢幻旅程。從湛藍海水中的浮潛探險，到在私人沙灘上享受陽光與海風，還有道地新鮮的海鮮午餐，一日輕鬆玩遍越南最迷人的海上祕境！

📅 第1天（芽莊出發）
🕘 08:00｜飯店接駁集合，啟程出發
專車接送至芽莊港口，與導遊會合後登上今日的遊艇，開啟海上奇遇冒險！

🚤 09:00｜出航前往第一座島嶼
感受海風吹拂與海天一線的壯麗景緻，航行約 30～40 分鐘抵達首個目的地。

🤿 09:40｜浮潛體驗：珊瑚與熱帶魚的天堂
在清澈見底的海水中浮潛，探索色彩繽紛的珊瑚礁與成群結隊的熱帶魚。專業裝備與教練指導，讓初學者也能安心享受海底世界。

🏖️ 11:00｜迷你沙灘：陽光、海浪與發呆
前往擁有白色細沙的私人沙灘，這裡人煙稀少，是放空與拍照的絕佳地點。可自由選擇日光浴、戲水或在沙灘椅上小憩，遠離城市喧囂。

🦐 12:30｜享用海鮮風味午餐
在海邊享用豐盛的午餐，包含現撈海鮮、越式熱炒與在地小菜，搭配熱帶水果與涼飲，補充滿滿活力。

⛱️ 14:00｜探索第三座島嶼或享受自由活動
可視當天天候安排，造訪第三座島嶼進行輕鬆散步、拍照，或回到沙灘繼續放鬆。每座小島都有不同特色，讓人流連忘返。

🚤 15:30｜啟程返回芽莊港口
結束海上旅程，乘船返回港口，沿途欣賞落日餘暉與海面光影交織的絕美畫面。

🚐 16:30｜飯店下車，行程圓滿結束
專車送返至原住宿地點，留下充實難忘的一天回憶。",1300,8,1,2025/7/14 00:00,2025/8/13 00:00,789,2025/7/4 00:00,NULL,2025/6/29 00:00,NULL,1
